,Country,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,other,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
115,Malta,"30,149",+20,412,,"29,261",+57,476,,"68,134",931,"856,718","1,936,103","442,496"
116,Australia,"29,656",+30,910,,"26,470",+9,"2,276",,"1,152",35,"16,554,933","643,186","25,738,971"
117,DRC,"29,498",+93,756,+4,"26,156",+21,"2,586",,322,8,"146,905","1,601","91,745,162"
118,Mongolia,"29,219","+1,263",74,+5,"14,745",+487,"14,400",64,"8,799",22,"2,629,906","791,931","3,320,878"
119,Maldives,"27,621",+218,71,,"24,234",+118,"3,316",90,"50,383",130,"705,374","1,286,665","548,219"
120,Angola,"25,492",+213,577,+3,"23,092",+3,"1,823",24,757,17,"449,666","13,349","33,685,981"
121,Rwanda,"24,535",+76,328,,"22,866",+170,"1,341",6,"1,857",25,"1,284,779","97,256","13,210,318"
122,Gabon,"22,433",,138,,"19,074",,"3,221",22,"9,891",61,"710,576","313,309","2,267,973"
123,Syria,"21,999",+135,"1,526",+16,"15,731",+180,"4,742",,"1,233",86,"103,566","5,804","17,842,481"
124,Guinea,"21,885",+82,140,+1,"19,194",+87,"2,551",24,"1,631",10,"425,451","31,705","13,418,878"
125,Cabo Verde,"21,784",,201,,"18,959",,"2,624",23,"38,840",358,"142,081","253,323","560,868"
126,Mayotte,"19,849",,169,,"2,964",,"16,716",7,"71,372",608,"165,683","595,751","278,108"
127,Réunion,"19,343",,141,,"17,653",,"1,549",36,"21,481",157,"100,098","111,160","900,484"
128,French Guiana,"18,826",,98,,"9,995",,"8,733",14,"61,744",321,"208,396","683,483","304,903"
129,French Polynesia,"18,734",+9,141,,"4,842",,"13,751",4,"66,380",500,"26,355","93,384","282,223"
130,Eswatini,"18,440",+6,671,,"17,737",+7,32,3,"15,762",574,"181,570","155,204","1,169,876"
131,Mauritania,"18,207",,454,,"17,560",,193,14,"3,835",96,"226,866","47,783","4,747,845"
132,Guadeloupe,"13,669",,185,,"2,242",,"11,242",23,"34,157",462,"171,662","428,962","400,180"
133,Mali,"13,560",+56,462,+2,"7,989",+185,"5,109",,654,22,"248,587","11,998","20,718,946"
134,Somalia,"13,459",,689,,"5,593",,"7,177",,828,42,"107,545","6,618","16,249,211"
135,Tajikistan,"13,308",,90,,"13,218",,0,,"1,371",9,,,"9,710,017"
136,Burkina Faso,"13,231",,156,,"12,887",,188,,619,7,"178,354","8,349","21,363,544"
